地市,天猫目标,天猫完成,天猫完成率,企微目标,企微完成,企微完成率,码上购目标,码上购完成,码上购完成率,线下目标,线下完成,线下完成率,微信小程序目标,微信小程序完成,微信小程序完成率,掌厅APP目标,掌厅APP完成,掌厅APP完成率,网厅目标,网厅完成,网厅完成率,易信目标,易信完成,易信完成率,支付宝目标,支付宝完成,支付宝完成率,翼支付目标,翼支付完成,翼支付完成率,其他目标,其他完成,其他完成率
武汉,646,562,87.0%,968,1057,109.2%,840,785,93.5%,1251,1290,103.1%,1021,989,96.9%,1233,1239,100.5%,359,356,99.2%,81,97,120.0%,327,294,89.9%,210,248,118.1%,45,47,104.4%
襄阳,372,329,88.4%,558,594,106.5%,485,447,92.2%,723,716,99.0%,589,560,95.1%,712,702,98.6%,207,203,98.1%,47,51,108.5%,189,176,93.1%,122,126,103.3%,26,27,103.8%
宜昌,305,268,87.9%,458,502,109.6%,398,372,93.5%,593,578,97.5%,484,461,95.2%,585,572,97.8%,170,167,98.2%,38,42,110.5%,155,144,92.9%,100,103,103.0%,21,22,104.8%
十堰,184,163,88.6%,276,289,104.7%,240,224,93.3%,358,352,98.3%,292,278,95.2%,353,346,98.0%,103,101,98.1%,23,25,108.7%,93,87,93.5%,60,62,103.3%,13,14,107.7%
孝感,221,195,88.2%,331,349,105.4%,288,269,93.4%,429,420,97.9%,350,333,95.1%,423,415,98.1%,123,120,97.6%,28,30,107.1%,112,105,93.8%,72,74,102.8%,16,17,106.3%
荆州,282,249,88.3%,423,448,105.9%,368,345,93.8%,548,538,98.2%,447,426,95.3%,541,532,98.3%,158,155,98.1%,36,38,105.6%,143,134,93.7%,92,94,102.2%,20,21,105.0%
荆门,198,175,88.4%,297,313,105.4%,258,241,93.4%,385,378,98.2%,314,299,95.2%,380,373,98.2%,111,109,98.2%,25,27,108.0%,100,94,94.0%,64,66,103.1%,14,15,107.1%
鄂州,156,138,88.5%,234,247,105.6%,203,190,93.6%,303,298,98.3%,247,235,95.1%,299,293,98.0%,87,85,97.7%,20,21,105.0%,78,73,93.6%,50,51,102.0%,11,12,109.1%
黄冈,252,223,88.5%,378,399,105.6%,328,307,93.6%,489,481,98.4%,399,380,95.2%,483,474,98.1%,141,138,97.9%,32,34,106.3%,128,120,93.8%,82,84,102.4%,18,19,105.6%
咸宁,145,128,88.3%,218,230,105.5%,189,177,93.7%,282,277,98.2%,230,219,95.2%,278,273,98.2%,81,79,97.5%,18,19,105.6%,73,68,93.2%,47,48,102.1%,10,11,110.0%
随州,127,112,88.2%,191,202,105.8%,166,155,93.4%,247,243,98.4%,202,192,95.0%,244,239,98.0%,71,69,97.2%,16,17,106.3%,64,60,93.8%,41,42,102.4%,9,10,111.1%
恩施,156,138,88.5%,234,247,105.6%,203,190,93.6%,303,298,98.3%,247,235,95.1%,299,293,98.0%,87,85,97.7%,20,21,105.0%,78,73,93.6%,50,51,102.0%,11,12,109.1%
仙桃,112,99,88.4%,168,177,105.4%,146,136,93.2%,218,214,98.2%,178,169,95.0%,215,211,98.1%,63,61,96.8%,14,15,107.1%,56,52,92.9%,36,37,102.8%,8,8,100.0%
天门,89,79,88.8%,134,141,105.2%,116,108,93.1%,173,170,98.3%,141,134,95.0%,171,168,98.2%,50,49,98.0%,11,12,109.1%,45,42,93.3%,29,29,100.0%,6,7,116.7%
潜江,98,87,88.8%,147,155,105.4%,128,119,93.0%,191,187,97.9%,156,148,94.9%,188,184,97.9%,55,54,98.2%,12,13,108.3%,50,47,94.0%,32,32,100.0%,7,7,100.0%
神农架,25,22,88.0%,38,40,105.3%,33,31,93.9%,49,48,98.0%,40,38,95.0%,48,47,97.9%,14,14,100.0%,3,3,100.0%,13,12,92.3%,8,8,100.0%,2,2,100.0%
江汉,178,157,88.2%,267,282,105.6%,232,217,93.5%,346,340,98.3%,282,268,95.0%,341,335,98.2%,100,98,98.0%,23,24,104.3%,91,85,93.4%,58,59,101.7%,13,13,100.0%
全省合计,3546,3128,88.2%,5318,5628,105.8%,4627,4321,93.4%,6898,6813,98.8%,5626,5347,95.0%,6805,6704,98.5%,1983,1952,98.4%,450,476,105.8%,1800,1692,94.0%,1157,1195,103.3%,252,263,104.4%
