序号,任务名称,条线,责任人,开始日期,截止日期,当前进度,状态,风险等级,关键里程碑,备注
1,多业务一单办理,受理侧,吕飞/邹权,2026-02-28,2026-03-17,90%,进行中,低,3.6完成测试,计划3.17上线
2,翼销售外部表整改,受理侧,吕飞/邹权,2026-02-28,2026-03-17,60%,进行中,低,3.12完成测试,方案已完成
3,大表和慢SQL整治,受理侧,吕飞/邹权,2026-03-02,2026-03-17,90%,进行中,低,3.5完成测试,计划3.17上线
4,互联网卡泛渠道线下交付,受理侧,吕飞/邹权,2026-02-28,2026-03-17,70%,进行中,低,3.13完成测试,开发已完成
5,融合套餐回执打印优化,受理侧,吕飞/邹权,2026-03-09,2026-03-12,100%,已完成,低,3.9输出方案,方案阶段
6,全家福套餐免押订单前置校验,受理侧,吕飞/邹权,2026-03-09,2026-03-12,5%,未开始,低,3.9输出方案,方案阶段
7,翼销售日志doris批量写表,受理侧,吕飞/邹权,2026-03-11,2026-03-15,100%,已完成,低,3.11完成开发,待启动
8,标准甩单新装属性问题,受理侧,吕飞/邹权,2026-02-26,2026-03-26,90%,进行中,低,3.26上线,已完成测试
9,校园营销打包套餐未配置群号拦截,受理侧,吕飞/邹权,2026-02-26,2026-03-26,90%,进行中,低,3.26上线,已完成测试
10,违约金金额精度问题,受理侧,吕飞/邹权,2026-01-22,2026-03-26,90%,进行中,低,3.26上线,已完成测试
11,查询销售品roleId无数据,受理侧,吕飞/邹权,2026-02-26,2026-03-26,90%,进行中,低,3.26上线,已完成测试
12,打标套餐层级查询问题,受理侧,吕飞/邹权,2026-02-27,2026-03-26,90%,进行中,低,3.26上线,已完成测试
13,浏览器翼销售提示语优化,受理侧,吕飞/邹权,2026-02-27,2026-03-26,90%,进行中,低,3.26上线,已完成测试
14,礼包加装号码选择器问题,受理侧,吕飞/邹权,2026-02-27,2026-03-26,90%,进行中,低,3.26上线,已完成测试
15,小微ICT接口更换,受理侧,吕飞/邹权,2026-02-28,2026-03-17,90%,进行中,低,3.17上线,已完成测试
16,频繁解绑工号冻结功能,受理侧,吕飞/邹权,2026-03-09,2026-03-17,-,未开始,中,3.9完成开发,安全整改
17,安全扫描漏洞修复,受理侧,吕飞/邹权,2026-03-05,2026-03-17,90%,进行中,低,3.10完成测试,安全整改
18,潜江下层问题清单修复,营销侧,钟胜,2026-03-02,2026-03-18,70%,进行中,低,3.10完成测试,版本开发中
19,CPCP外网域名调整,营销侧,钟胜,2026-03-02,2026-03-18,70%,进行中,低,3.18上线,联调测试中
20,集中外呼系统协同智慧营维报表,营销侧,钟胜,2026-03-02,2026-03-18,90%,进行中,低,3.11完成测试,功能开发完成
21,CPCP系统自动派发工单完善,营销侧,钟胜,2026-03-02,2026-03-18,70%,进行中,低,3.12完成测试,版本开发中
22,场景策略试算能力,营销侧,钟胜,2026-03-02,2026-03-18,90%,进行中,低,3.13完成测试,功能开发完成
23,电信到家切客保工作台优化,营销侧,钟胜,2026-03-02,2026-03-18,100%,已完成,低,3.12完成测试,功能开发完成
24,固网终端稽核回单流程拉通,营销侧,钟胜,2026-03-02,2026-03-18,90%,进行中,低,3.13完成测试,功能开发完成
25,API接口管理系统运营日报修复,营销侧,钟胜,2026-03-02,2026-03-18,90%,进行中,低,3.18上线,功能开发完成
26,评估视角扩展,营销侧,钟胜,2026-03-02,2026-03-27,10%,进行中,低,3.12完成开发,需求方案完成
27,营服协同中心系统XC计划,营销侧,钟胜,2026-03-02,待定,10%,进行中,中,3.13改造计划评审,改造计划待评审
28,湖北电信AI智能配案,营销侧,钟胜,2026-03-03,2026-03-03,100%,已完成,低,demo演示完成,3.3已完成演示
29,工单池走接口模式,营销侧,钟胜,2026-03-02,待定,10%,进行中,低,3.10方案沟通,方案沟通中
30,CPCP大表清理-2/5,营销侧,钟胜,2026-03-02,2026-03-27,-,进行中,低,数据备份中,按计划推进
31,老年人新装业务监控,营销侧,钟胜,2026-03-02,2026-03-13,100%,已完成,低,3.13上线,功能开发已完成
32,外地身份证办理业务实时监控,营销侧,钟胜,2026-03-02,2026-03-13,100%,已完成,低,3.13上线,功能开发已完成
33,分公司问题单稽核,计费侧,徐晨/王康威/宛恋,2026-03-02,2026-03-10,70%,进行中,低,3.10完成,稽核进行中
34,全家福销售品佣金/店奖框架优化,计费侧,徐晨/王康威/宛恋,2026-03-02,2026-03-20,10%,进行中,中,店奖迁转3.9,新销售品框架
35,信创割接,计费侧,徐晨/王康威/宛恋,2026-01-01,2026-04-30,80%,有风险,🔴,关主任要求4月完成,新框架延期+客户要求提前
36,佣金资源投放动态预测,计费侧,徐晨/王康威/宛恋,2026-03-02,2026-03-18,40%,进行中,低,页面开发完成,计划3.18版本测试
37,叠加积分配置申请数字化,计费侧,徐晨/王康威/宛恋,2026-03-02,2026-03-12,70%,进行中,低,3.12完成测试,版本测试中
38,退保证金佣金自动打标清理,计费侧,徐晨/王康威/宛恋,2026-03-02,2026-03-19,40%,进行中,低,3.19完成测试,开发中
39,XC迁移-外围接口联调,计费侧,徐晨/王康威/宛恋,2026-03-02,2026-03-13,30%,进行中,低,外围联调中,30%进度
40,短信存量场景纳管,计费侧,徐晨/王康威/宛恋,2026-03-02,2026-03-20,-,进行中,低,41个系统推进中,剩余9个未开始
41,定价因子配置DCA刷新,计费侧,徐晨/王康威/宛恋,2026-03-09,2026-03-09,-,未开始,低,计划3.9完成,待启动
42,配置定价类场景,计费侧,徐晨/王康威/宛恋,2026-03-10,2026-03-10,-,未开始,低,计划3.10完成,待启动
43,ETL架构升级漏洞对接,数据侧,喻瑞/宛恋,2026-03-02,2026-03-09,90%,进行中,低,计划3.9完成,与研发对接中
44,渗透测试报告输出,数据侧,喻瑞/宛恋,2026-03-09,2026-03-10,-,未开始,低,计划3.10输出,账号准备完成
45,批量建模需求确认,数据侧,喻瑞/宛恋,2026-03-02,2026-03-10,100%,进行中,低,3.10思特奇确认,改为批量入湖
46,接口层订阅表审批流程改造,数据侧,喻瑞/宛恋,2026-03-02,2026-03-09,-,进行中,低,3.9输出初版,实施工作中
47,数据安全两级运营,数据侧,喻瑞/宛恋,2026-03-02,2026-03-31,80%,进行中,低,上游数据收集,6类接口收集中
48,数据网关高可用,数据侧,喻瑞/宛恋,2026-03-02,2026-03-31,-,进行中,低,版本现场测试,测试中
49,外包费自动采集开发,数据侧,喻瑞/宛恋,2026-03-02,2026-03-06,100%,已完成,低,计划3.6完成,剩余5%
50,外包费自动采集稽核,数据侧,喻瑞/宛恋,2026-03-02,2026-03-06,95%,进行中,低,计划3.6完成,剩余5%
51,版本上线材料准备,数据侧,喻瑞/宛恋,2026-03-02,2026-03-12,100%,已完成,低,计划3.12完成,待启动
52,外包费漏洞修复测试,数据侧,喻瑞/宛恋,2026-03-06,2026-03-11,100%,已完成,中,系统测试中,3.6已完成修复
53,ETL架构升级缺陷修复,数据侧,喻瑞/宛恋,2026-03-09,2026-03-10,-,未开始,低,计划3.9完成,待启动
54,渗透测试漏洞修复,数据侧,喻瑞/宛恋,2026-03-10,2026-03-12,100%,已完成,低,计划3.12完成,待报告输出后修复
55,翼销售闪退及订单丢失问题排查,受理侧,吕飞/邹权,2026-03-10,2026-03-25,0%,未开始,高,关主任要求,APM月报分析
